"IPAddress","Status","Host"
"192.168.56.1","Online","TRIFORCE"
"192.168.56.255","Offline",""
"224.0.0.22","Offline",""
"224.0.0.251","Offline",""
"224.0.0.252","Offline",""
"239.255.255.250","Offline",""
"10.0.0.53","Online","TRIFORCE.lan"
"10.0.0.1","Online","Unavailable"
"10.0.0.20","Online","Unavailable"
"10.0.0.31","Online","BRN30055C0D05B9.lan"
"10.0.0.39","Online","Wencel-PC.lan"
"10.0.0.43","Online","Unavailable"
"10.0.0.52","Online","Unavailable"
"10.0.0.62","Online","Krissy-PC.lan"
"10.0.0.67","Online","Unavailable"
"10.0.0.213","Online","Unavailable"
"10.0.0.255","Online","Unavailable"
"224.0.0.22","Offline",""
"224.0.0.251","Offline",""
"224.0.0.252","Offline",""
"239.255.255.250","Offline",""
"255.255.255.255","Offline",""
